,Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Place,Place Latitude,Place Longitude,Place Category
63,Rabot  - Blaisantvest,51.06317025937241,3.7124772608240613,Rabotpark,51.063816680910314,3.7164702775020872,Park
64,Rabot  - Blaisantvest,51.06317025937241,3.7124772608240613,Rabot Bakkerij,51.060867,3.710394,Bakery
65,Rabot  - Blaisantvest,51.06317025937241,3.7124772608240613,Brasserie Den Hoet,51.06032537704489,3.71036051646788,Brasserie
66,Rabot  - Blaisantvest,51.06317025937241,3.7124772608240613,Wittekaproenenplein,51.061841430265396,3.7074190378189087,Plaza
67,Rabot  - Blaisantvest,51.06317025937241,3.7124772608240613,Nieuwe Vaart,51.066265912500164,3.7141513824462886,Canal
68,Rabot  - Blaisantvest,51.06317025937241,3.7124772608240613,Bakkerij Van Hecke Luc,51.05946250497465,3.7185636162757874,Bakery
69,Rabot  - Blaisantvest,51.06317025937241,3.7124772608240613,Theater Tinnenpot,51.05814133887703,3.7180571922274477,Concert Hall
70,Rabot  - Blaisantvest,51.06317025937241,3.7124772608240613,Kopergietery Rabot,51.06217440704977,3.708713348537789,Theater
71,Rabot  - Blaisantvest,51.06317025937241,3.7124772608240613,'T Floere Foefke,51.059506,3.718594,Pub
72,Rabot  - Blaisantvest,51.06317025937241,3.7124772608240613,Hof ten Walle,51.059607483945186,3.715036511421203,Park
73,Rabot  - Blaisantvest,51.06317025937241,3.7124772608240613,Eén Twee Vijf,51.064236,3.718517,Comfort Food Restaurant
74,Rabot  - Blaisantvest,51.06317025937241,3.7124772608240613,Frituur Artevelde,51.06139032865702,3.710406716825336,Friterie
75,Rabot  - Blaisantvest,51.06317025937241,3.7124772608240613,Gaardeniersbrug,51.06683149312006,3.71674816460471,Bridge
76,Rabot  - Blaisantvest,51.06317025937241,3.7124772608240613,Buurtsporthal Tondelier,51.065645623408905,3.7153100967407227,Sports and Recreation
77,Rabot  - Blaisantvest,51.06317025937241,3.7124772608240613,Café De Limiet,51.0605181863793,3.7100251471859376,Bar
78,Rabot  - Blaisantvest,51.06317025937241,3.7124772608240613,Helios Sauna & Zonnecenter,51.06484476097212,3.709351690127604,Bathing Area
79,Rabot  - Blaisantvest,51.06317025937241,3.7124772608240613,Circle of Odisee,51.05982701130915,3.7088605327296915,Landmarks and Outdoors
80,Rabot  - Blaisantvest,51.06317025937241,3.7124772608240613,Pitta Kemer,51.062230051000796,3.710077843536773,Doner Restaurant
81,Rabot  - Blaisantvest,51.06317025937241,3.7124772608240613,Voedselteam Rabot,51.063089675235965,3.7101573895385354,Deli
82,Rabot  - Blaisantvest,51.06317025937241,3.7124772608240613,Brug der Keizerlijke Geneugten,51.05950970748001,3.7170159816741943,Bridge
83,Rabot  - Blaisantvest,51.06317025937241,3.7124772608240613,Park Bachtenwalle,51.05933438364608,3.7146127223968506,Park
84,Rabot  - Blaisantvest,51.06317025937241,3.7124772608240613,Binnenpark Sint-Antoniushof,51.06012419780541,3.7172954171268455,Park
85,Rabot  - Blaisantvest,51.06317025937241,3.7124772608240613,Pitta Hishär,51.06471598148346,3.709087371826172,Doner Restaurant
86,Rabot  - Blaisantvest,51.06317025937241,3.7124772608240613,Eetcafé Toreke,51.063397736607456,3.711980612885328,Bar
87,Rabot  - Blaisantvest,51.06317025937241,3.7124772608240613,Café Rabot,51.05958556854852,3.711351156234741,Bar
