,Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Place,Place Latitude,Place Longitude,Place Category,node_ids,Score,id,host_id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_verifications,host_identity_verified,latitude,longitude,property_type,room_type,accommodates,priv_bath,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,availability_90,number_of_reviews,number_of_reviews_ltm,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,reviews_per_month,hrt_a few days or more,hrt_within a day,hrt_within a few hours,hrt_within an hour,rt_Entire home/apt,rt_Hotel room,rt_Private room,rt_Shared room,pt_Apartment,pt_House,pt_Other,pt_Room
1309,Binnenstad,51.04801349835967,3.7287020692748154,Zuidpark,51.04580547381296,3.731735944747925,Park,9243874916,1343.0810546875,4550799,23595340,within an hour,1.0,1.0,1,2,5,1,51.05643,3.72107,Room,Private room,6,1.0,1.0,1,0.0,100.0,2,14,74,57,0,2018-12-09,4.56,4.57,4.64,4.77,4.75,4.96,4.46,0,0.72,0,0,0,1,0,0,1,0,0,0,0,1
1310,Binnenstad,51.04801349835967,3.7287020692748154,Zuidpark,51.04580547381296,3.731735944747925,Park,9243874916,1343.0810546875,4696196,23595340,within an hour,1.0,1.0,1,2,5,1,51.05679,3.7233,Room,Private room,2,1.0,1.0,1,0.0,95.0,2,1125,78,34,0,2020-03-09,4.79,4.88,4.82,4.91,4.82,4.97,4.67,0,0.43,0,0,0,1,0,0,1,0,0,0,0,1
1311,Binnenstad,51.04801349835967,3.7287020692748154,Zuidpark,51.04580547381296,3.731735944747925,Park,9243874916,1343.0810546875,5694820,29523955,within a day,1.0,1.0,1,2,8,1,51.0583,3.72895,Apartment,Entire home/apt,6,1.0,2.0,3,5.0,240.0,2,1125,0,337,6,2020-03-11,4.83,4.82,4.72,4.96,4.95,4.91,4.82,0,4.39,0,1,0,0,1,0,0,0,1,0,0,0
1312,Binnenstad,51.04801349835967,3.7287020692748154,Zuidpark,51.04580547381296,3.731735944747925,Park,9243874916,1343.0810546875,6441548,33631603,within a few hours,1.0,1.0,1,1,6,1,51.04567,3.73233,House,Entire home/apt,6,1.0,2.0,2,2.0,80.0,14,360,52,69,2,2018-09-20,4.86,4.91,4.96,5.0,5.0,4.81,4.86,0,1.02,0,0,1,0,1,0,0,0,0,1,0,0
1313,Binnenstad,51.04801349835967,3.7287020692748154,Zuidpark,51.04580547381296,3.731735944747925,Park,9243874916,1343.0810546875,6695016,34821696,within an hour,1.0,1.0,0,1,7,1,51.05749,3.72677,Apartment,Entire home/apt,4,1.0,1.5,2,3.0,145.0,1,1125,26,412,26,2020-08-18,4.66,4.8,4.49,4.91,4.87,4.95,4.61,1,5.61,0,0,0,1,1,0,0,0,1,0,0,0
1314,Binnenstad,51.04801349835967,3.7287020692748154,Zuidpark,51.04580547381296,3.731735944747925,Park,9243874916,1343.0810546875,7568806,39681783,within an hour,1.0,1.0,1,1,8,1,51.05809,3.72714,Apartment,Entire home/apt,7,1.0,1.5,2,4.0,85.0,1,1125,52,464,21,2020-02-05,4.89,4.93,4.93,4.97,4.98,4.95,4.8,1,6.44,0,0,0,1,1,0,0,0,1,0,0,0
1315,Binnenstad,51.04801349835967,3.7287020692748154,Zuidpark,51.04580547381296,3.731735944747925,Park,9243874916,1343.0810546875,7683600,40352209,within an hour,1.0,1.0,1,2,5,1,51.05123,3.7253,Apartment,Entire home/apt,2,1.0,1.0,1,1.0,47.0,1,1125,74,298,73,2019-11-12,4.84,4.89,4.73,4.94,4.96,4.95,4.76,1,4.26,0,0,0,1,1,0,0,0,1,0,0,0
1316,Binnenstad,51.04801349835967,3.7287020692748154,Zuidpark,51.04580547381296,3.731735944747925,Park,9243874916,1343.0810546875,8366610,20327558,within a few hours,1.0,1.0,0,1,7,1,51.05367,3.72258,Other,Entire home/apt,6,1.0,1.0,1,1.0,99.0,3,1125,29,162,7,2020-07-22,4.74,4.87,4.88,4.66,4.78,4.96,4.61,0,2.32,0,0,1,0,1,0,0,0,0,0,1,0
1317,Binnenstad,51.04801349835967,3.7287020692748154,Zuidpark,51.04580547381296,3.731735944747925,Park,9243874916,1343.0810546875,8766948,10131924,within an hour,1.0,1.0,0,1,6,1,51.0507,3.73034,Apartment,Entire home/apt,2,1.0,1.0,1,1.0,70.0,2,1125,65,72,19,2021-02-15,4.53,4.73,4.21,4.83,4.77,4.99,4.61,1,1.03,0,0,0,1,1,0,0,0,1,0,0,0
1318,Binnenstad,51.04801349835967,3.7287020692748154,Zuidpark,51.04580547381296,3.731735944747925,Park,9243874916,1343.0810546875,10015215,51433840,within a day,1.0,0.64,1,1,9,1,51.05424,3.72308,Apartment,Entire home/apt,6,1.0,2.0,3,3.0,250.0,4,1125,61,96,1,2019-11-30,4.96,4.98,4.98,4.95,4.98,5.0,4.92,0,1.49,0,1,0,0,1,0,0,0,1,0,0,0
